Date/Time,Calling #,Called #,Duration,Amount,Tax,Total,Destination,Extension
05/31/2023 13:14:44,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 12:26:20,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 12:10:27,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/31/2023 11:30:10,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 10:54:38,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 10:18:00,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 09:10:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/31/2023 08:20:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 20:45:38,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 18:05:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 16:57:59,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 16:27:18,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 14:26:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 14:11:00,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 14:08:54,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 13:47:03,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 13:46:56,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 13:37:39,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 12:25:09,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 11:30:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 10:24:37,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 09:46:01,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 09:44:53,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/30/2023 08:18:10,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 20:22:24,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 17:28:50,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 17:06:27,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 16:33:13,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 15:01:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 15:01:33,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 13:52:12,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/29/2023 12:30:32,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/27/2023 13:57:39,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/27/2023 13:39:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/27/2023 11:57:05,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/27/2023 10:54:05,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/27/2023 08:59:48,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 19:25:54,18885551212,18665551212,19 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/26/2023 19:01:25,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 18:17:19,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 18:12:51,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 16:52:41,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 15:41:11,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 15:01:10,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 14:46:48,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 14:11:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 13:48:41,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 12:31:31,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 12:01:04,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 11:11:22,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 10:36:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/26/2023 10:36:40,18885551212,18665551212,2 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 09:24:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/26/2023 08:16:05,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 18:47:37,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 18:18:09,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 17:52:10,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 17:11:26,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 16:16:27,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 16:00:17,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 14:35:17,18885551212,18665551212,2 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 14:35:38,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/25/2023 14:14:45,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 13:48:22,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 12:11:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 10:48:44,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 10:32:59,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 10:00:48,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/25/2023 08:12:35,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 19:52:23,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 19:37:32,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 18:14:18,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 18:07:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 17:51:57,18885551212,18665551212,15 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/24/2023 17:40:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 15:35:15,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 14:37:53,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 13:14:54,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 12:27:13,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 11:45:53,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 11:35:36,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 11:21:50,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 09:50:09,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 09:07:57,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/24/2023 08:39:34,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 20:20:32,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 18:28:02,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 16:37:25,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 16:13:41,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 13:28:58,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 11:21:41,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 11:19:33,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 09:22:28,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 09:17:25,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/23/2023 08:12:04,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 17:44:42,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 15:12:31,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 14:38:54,18885551212,18665551212,29 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 14:39:01,18885551212,18665551212,29 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/22/2023 14:38:19,18885551212,18665551212,0 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/22/2023 14:29:26,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 14:04:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 13:41:56,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 13:03:59,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 12:23:01,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 12:01:24,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 09:59:46,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/22/2023 08:17:11,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/20/2023 12:25:02,18885551212,18665551212,39 min,$0.0000,$0.0000,$0.0000,United States Freephone,100
05/20/2023 12:06:50,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/20/2023 11:32:27,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/20/2023 11:01:58,18885551212,18665551212,5 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/20/2023 10:51:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/20/2023 10:50:11,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/20/2023 08:23:31,18885551212,18665551212,2 min,$0.0000,$0.0000,$0.0000,Incoming,
05/20/2023 08:23:40,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,100
05/19/2023 17:25:55,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/19/2023 16:02:37,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/19/2023 15:07:49,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/19/2023 14:32:38,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/19/2023 13:57:07,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/19/2023 13:39:47,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/19/2023 08:16:40,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 20:17:43,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 20:12:12,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 17:01:43,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 16:50:38,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,United States Domestic,100
05/18/2023 16:46:41,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 16:21:39,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 15:08:26,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
05/18/2023 13:22:14,18885551212,18665551212,1 min,$0.0000,$0.0000,$0.0000,Incoming,
